"hsap_ensembl_gid","hsap_gene_name","diff_1","diff_2","undiff_1","undiff_2"
"ENSG00000202082","RNU6-290P",0,0,0,0
"ENSG00000202089","RNU6-1306P",0,0,0,0
"ENSG00000202092","RNA5SP190",0,0,0,0
"ENSG00000202093","SNORD58C",0,0,0,0
"ENSG00000202095","RNU6-1172P",0,0,0,0
"ENSG00000202099","RNU6-234P",0,0,0,0
"ENSG00000202100","Y_RNA",0,0,0,0
"ENSG00000202103","RNU4-12P",0,0,0,0
"ENSG00000202105","Y_RNA",0,0,0,0
"ENSG00000202107","SNORD103B",3,2,3,3
"ENSG00000202111","VTRNA1-2",0,0,0,0
"ENSG00000202112","RNU6-690P",0,0,0,0
"ENSG00000202119","RNU6-302P",0,0,0,0
"ENSG00000202124","RNY4P3",0,0,0,0
"ENSG00000202125","RNU1-100P",0,0,0,0
"ENSG00000202129","RNY5P1",0,0,0,0
"ENSG00000202137","Y_RNA",0,0,0,0
"ENSG00000202140","Y_RNA",0,0,0,0
"ENSG00000202141","Y_RNA",0,0,0,0
"ENSG00000202142","SNORD114-18",0,1,1,1
"ENSG00000202144","Y_RNA",0,0,0,0
"ENSG00000202146","Y_RNA",0,0,0,0
"ENSG00000202147","RNA5SP329",0,0,0,0
"ENSG00000202150","RNU6-407P",1,1,1,2
"ENSG00000202151","RNY4P28",0,0,0,0
"ENSG00000202157","RNU4-11P",0,0,0,0
"ENSG00000202159","RNU6-742P",0,0,0,0
"ENSG00000202160","RNU5E-7P",0,0,0,0
"ENSG00000202164","RNA5SP117",0,0,0,0
"ENSG00000202167","RNU1-114P",0,0,0,0
"ENSG00000202169","Y_RNA",0,0,0,0
"ENSG00000202172","RNU6-1327P",0,0,0,0
"ENSG00000202174","RNA5-8SP5",0,0,0,0
"ENSG00000202175","RNA5SP128",0,0,0,0
"ENSG00000202177","Y_RNA",0,0,0,0
"ENSG00000202178","Y_RNA",0,0,0,0
"ENSG00000202182","Y_RNA",0,0,0,0
"ENSG00000202183","SNORA4",0,0,0,0
"ENSG00000202184","RNU6-1283P",0,0,0,0
"ENSG00000202186","RNU6-497P",0,0,4,4
"ENSG00000202187","RNA5SP355",0,0,0,0
"ENSG00000202188","SNORD115-31",0,0,0,0
"ENSG00000202189","SNORA30",0,0,1,0
"ENSG00000202190","Y_RNA",0,0,0,0
"ENSG00000202191","SNORD113-1",1,2,1,1
"ENSG00000202193","RNA5SP427",0,0,0,0
"ENSG00000202195","Y_RNA",0,0,0,0
"ENSG00000202198","RN7SK",29,35,42,41
"ENSG00000202199","RNU1-115P",0,0,0,0
"ENSG00000202200","Y_RNA",0,0,0,0
"ENSG00000202205","RNU6-1034P",0,0,0,0
"ENSG00000202206","RNU6-169P",0,0,0,0
"ENSG00000202211","Y_RNA",0,0,0,0
"ENSG00000202215","RNU1-51P",0,0,0,0
"ENSG00000202216","SNORA43",0,0,0,0
"ENSG00000202217","RN7SKP47",0,0,0,0
"ENSG00000202220","Y_RNA",0,1,0,2
"ENSG00000202222","Y_RNA",1,2,0,1
"ENSG00000202224","Y_RNA",0,0,0,0
"ENSG00000202225","RNA5SP240",0,0,0,0
"ENSG00000202227","RNU6-282P",1,1,0,0
"ENSG00000202229","RNU6-1138P",0,0,1,3
"ENSG00000202231","SNORA9",0,0,0,0
"ENSG00000202233","U3",0,0,0,0
"ENSG00000202237","RNU6-53P",0,0,0,0
"ENSG00000202239","RNU6-396P",0,0,0,0
"ENSG00000202240","RNU6-737P",0,0,0,0
"ENSG00000202241","RN7SKP186",0,0,0,0
"ENSG00000202242","RNU6-1276P",0,0,0,0
"ENSG00000202245","RNU6-728P",0,0,0,0
"ENSG00000202248","RNA5SP85",0,0,0,0
"ENSG00000202249","RNU5E-5P",0,0,0,0
"ENSG00000202250","RNU6-443P",0,0,0,0
"ENSG00000202251","Y_RNA",0,0,0,0
"ENSG00000202252","SNORD14C",0,0,0,0
"ENSG00000202254","Y_RNA",0,0,0,0
"ENSG00000202255","Y_RNA",0,0,0,0
"ENSG00000202257","RNA5S16",0,0,0,0
"ENSG00000202259","RNU6-1318P",0,0,0,0
"ENSG00000202260","RN7SKP69",0,0,1,1
"ENSG00000202261","SNORD115-44",0,0,0,0
"ENSG00000202263","RNA5SP22",0,0,0,0
"ENSG00000202264","RNA5SP77",0,0,0,0
"ENSG00000202265","RNU6-596P",0,0,0,0
"ENSG00000202268","U3",0,0,0,0
"ENSG00000202269","U8",0,0,0,0
"ENSG00000202270","SNORD114-12",0,0,0,0
"ENSG00000202272","Y_RNA",0,0,0,0
"ENSG00000202273","Y_RNA",0,0,0,0
